zp_m,df_hz
-3.8268474785047402e-07,-2.9110964305800735
-3.826597481509157e-07,-2.9016689495620085
-3.8263474845135739e-07,-2.8928127449034946
-3.8260974875179907e-07,-2.8691459874607972
-3.8258474905224075e-07,-2.8794559625566762
-3.8255974935268244e-07,-2.8469372637118795
-3.8253474965312412e-07,-2.8562695320033527
-3.8250974995356581e-07,-2.8456781819841126
-3.8248475025400749e-07,-2.8278634545131354
-3.8245975055444918e-07,-2.8371118787617888
-3.8243475085489086e-07,-2.8193383627694857
-3.8240975115533255e-07,-2.8074268243472034
-3.8238475145577423e-07,-2.7973314331575239
-3.8235975175621591e-07,-2.7900355803467392
-3.823347520566576e-07,-2.7796929202850151
-3.8230975235709928e-07,-2.7722137474484043
-3.8228475265754097e-07,-2.7587276463236776
-3.8225975295798265e-07,-2.7456650286694639
-3.8223475325842434e-07,-2.7531356749932456
-3.8220975355886602e-07,-2.723542991134309
-3.8218475385930771e-07,-2.7386803935769422
-3.8215975415974939e-07,-2.7236183086642995
-3.8213475446019108e-07,-2.7053687290390371
-3.8210975476063276e-07,-2.7020121251553064
-3.8208475506107444e-07,-2.688688027774333
-3.8205975536151613e-07,-2.6884109161073866
-3.8203475566195781e-07,-2.6596779889587197
-3.820097559623995e-07,-2.6663840912988235
-3.8198475626284118e-07,-2.6411115072733082
-3.8195975656328287e-07,-2.6378273787486251
-3.8193475686372455e-07,-2.6411882458887703
-3.8190975716416624e-07,-2.6192921609435871
-3.8188475746460792e-07,-2.6059055358018668
-3.8185975776504961e-07,-2.6018184939857747
-3.8183475806549129e-07,-2.5915923629327153
-3.8180975836593297e-07,-2.5921806923179247
-3.8178475866637466e-07,-2.5867436193038884
-3.8175975896681634e-07,-2.5647338475209835
-3.8173475926725803e-07,-2.5712836304592201
-3.8170975956769971e-07,-2.5487707944193971
-3.816847598681414e-07,-2.5493307020951761
-3.8165976016858308e-07,-2.5328105834887538
-3.8163476046902477e-07,-2.5248894530705002
-3.8160976076946645e-07,-2.5203505060744646
-3.8158476106990814e-07,-2.5013889626279706
-3.8155976137034982e-07,-2.4908715090532496
-3.815347616707915e-07,-2.4924048602770199
-3.8150976197123319e-07,-2.4786970698187361
-3.8148476227167487e-07,-2.4787439656392962
-3.8145976257211656e-07,-2.4601916948086
-3.8143476287255824e-07,-2.4654198682583228
-3.8140976317299993e-07,-2.4594115188847354
-3.8138476347344161e-07,-2.4569203560531605
-3.813597637738833e-07,-2.4352274863304046
-3.8133476407432498e-07,-2.4251320951407251
-3.8130976437476667e-07,-2.418367728296289
-3.8128476467520835e-07,-2.3972688723006286
-3.8125976497565003e-07,-2.3861744580244704
-3.8123476527609172e-07,-2.3894827450021694
-3.812097655765334e-07,-2.3723686126686516
-3.8118476587697509e-07,-2.3696998141531367
-3.8115976617741677e-07,-2.3590345676893776
-3.8113476647785846e-07,-2.3474839849768614
-3.8110976677830014e-07,-2.3535520199402526
-3.8108476707874183e-07,-2.3463400111722876
-3.8105976737918351e-07,-2.3386334646602336
-3.810347676796252e-07,-2.3357230816145602
-3.8100976798006688e-07,-2.3180845687420515
-3.8098476828050856e-07,-2.3136749405239243
-3.8095976858095025e-07,-2.3100881207938073
-3.8093476888139193e-07,-2.2938806409911194
-3.8090976918183362e-07,-2.2967924451222643
-3.808847694822753e-07,-2.2943865474189806
-3.8085976978271699e-07,-2.2801671661909495
-3.8083477008315867e-07,-2.2669297550237388
-3.8080977038360036e-07,-2.2657189902020036
-3.8078477068404204e-07,-2.2575250113732181
-3.8075977098448373e-07,-2.2514399233841687
-3.8073477128492541e-07,-2.2288872969511431
-3.8070977158536709e-07,-2.2405487243304378
-3.8068477188580878e-07,-2.2316086756291043
-3.8065977218625046e-07,-2.2242772956815315
-3.8063477248669215e-07,-2.2069286842452129
-3.8060977278713383e-07,-2.2067325744501431
-3.8058477308757552e-07,-2.1896624957662425
-3.805597733880172e-07,-2.1941204408904014
-3.8053477368845889e-07,-2.1754701151621703
-3.8050977398890057e-07,-2.180692604270007
-3.8048477428934226e-07,-2.1619669610117853
-3.8045977458978394e-07,-2.1611256784126454
-3.8043477489022562e-07,-2.1649100290233037
-3.8040977519066731e-07,-2.1491089796654705
-3.8038477549110899e-07,-2.1283412365846743
-3.8035977579155068e-07,-2.1304117581166793
-3.8033477609199236e-07,-2.1261854499243782
-3.8030977639243405e-07,-2.1102835034980671
-3.8028477669287573e-07,-2.1187460674809699
-3.8025977699331742e-07,-2.1073446987429634
-3.802347772937591e-07,-2.115058350682375
-3.8020977759420079e-07,-2.0962559688086913
-3.8018477789464247e-07,-2.0971313574591477
-3.8015977819508415e-07,-2.0970816194676445
-3.8013477849552584e-07,-2.0556271351779287
-3.8010977879596752e-07,-2.0762357166859147
-3.8008477909640921e-07,-2.0738582406920614
-3.8005977939685089e-07,-2.0535310341074364
-3.8003477969729258e-07,-2.0520033672255522
-3.8000977999773426e-07,-2.0390928057167912
-3.7998478029817595e-07,-2.0240278786332055
-3.7995978059861763e-07,-2.0313336790422909
-3.7993478089905932e-07,-2.0125142441429489
-3.79909781199501e-07,-2.0088208430024679
-3.7988478149994268e-07,-2.0147851387264382
-3.7985978180038437e-07,-2.0135203726567852
-3.7983478210082605e-07,-2.0067929540346086
-3.7980978240126774e-07,-1.9917891336262983
-3.7978478270170942e-07,-1.9918630300708173
-3.7975978300215111e-07,-1.9811679408121563
-3.7973478330259279e-07,-1.9740909351639857
-3.7970978360303448e-07,-1.9699129438777163
-3.7968478390347616e-07,-1.9699484710145043
-3.7965978420391785e-07,-1.9542468976396776
-3.7963478450435953e-07,-1.962290241408482
-3.7960978480480121e-07,-1.9496255276862939
-3.795847851052429e-07,-1.9389830185900792
-3.7955978540568458e-07,-1.9208030721529212
-3.7953478570612627e-07,-1.9259047689956788
-3.7950978600656795e-07,-1.9148160390614066
-3.7948478630700964e-07,-1.922542480770062
-3.7945978660745132e-07,-1.9141666030009219
-3.7943478690789301e-07,-1.911888602990075
-3.7940978720833469e-07,-1.8989638306265988
-3.7938478750877638e-07,-1.9029400277759123
-3.7935978780921806e-07,-1.9065595324718743
-3.7933478810965974e-07,-1.8705478055380809
-3.7930978841010143e-07,-1.8856908923226001
-3.7928478871054311e-07,-1.8829496184480377
-3.792597890109848e-07,-1.871119081897632
-3.7923478931142648e-07,-1.8577111404738389
-3.7920978961186817e-07,-1.858913378782745
-3.7918478991230985e-07,-1.8651547861736617
-3.7915979021275154e-07,-1.8384511690783256
-3.7913479051319322e-07,-1.8331078877054097
-3.7910979081363491e-07,-1.8300269744031539
-3.7908479111407659e-07,-1.8279834534951078
-3.7905979141451827e-07,-1.8316754335501173
-3.7903479171495996e-07,-1.8136034896087949
-3.7900979201540164e-07,-1.800808036023227
-3.7898479231584333e-07,-1.8158885950469994
-3.7895979261628501e-07,-1.8070522855850868
-3.789347929167267e-07,-1.8066586449094757
-3.7890979321716838e-07,-1.7896169879350055
-3.7888479351761007e-07,-1.7813931663113181
-3.7885979381805175e-07,-1.7797276541386964
-3.7883479411849344e-07,-1.7775491301108559
-3.7880979441893512e-07,-1.7628977388994826
-3.787847947193768e-07,-1.7686474507172534
-3.7875979501981849e-07,-1.7749428593560879
-3.7873479532026017e-07,-1.7639564475757652
-3.7870979562070186e-07,-1.7532130414110725
-3.7868479592114354e-07,-1.7542419072924531
-3.7865979622158523e-07,-1.7438381405554537
-3.7863479652202691e-07,-1.734537136144354
-3.786097968224686e-07,-1.7188341416840558
-3.7858479712291028e-07,-1.7289380593865644
-3.7855979742335197e-07,-1.7152103737316793
-3.7853479772379365e-07,-1.7186437162308721
-3.7850979802423533e-07,-1.7135292296188709
-3.7848479832467702e-07,-1.7076146718864038
-3.784597986251187e-07,-1.7068231272787671
-3.7843479892556039e-07,-1.7071712932192895
-3.7840979922600207e-07,-1.686872508344095
-3.7838479952644376e-07,-1.674915495186724
-3.7835979982688544e-07,-1.6857612195053662
