zp_m,df_hz
-3.827530929613456e-07,-2.2131999344310316
-3.8272809326178729e-07,-2.1895814938943658
-3.8270309356222897e-07,-2.1744867240158783
-3.8267809386267066e-07,-2.1866384258828475
-3.8265309416311234e-07,-2.1767348812318232
-3.8262809446355403e-07,-2.164544810057123
-3.8260309476399571e-07,-2.1551628037741466
-3.825780950644374e-07,-2.1509208636416588
-3.8255309536487908e-07,-2.134262899744499
-3.8252809566532077e-07,-2.1546881612266588
-3.8250309596576245e-07,-2.1284705553625827
-3.8247809626620413e-07,-2.1271048922244518
-3.8245309656664582e-07,-2.1240637693153985
-3.824280968670875e-07,-2.1302540176293405
-3.8240309716752919e-07,-2.1185044829508115
-3.8237809746797087e-07,-2.1043675246801286
-3.8235309776841256e-07,-2.1104909819769091
-3.8232809806885424e-07,-2.0925284616168938
-3.8230309836929593e-07,-2.0909936893076519
-3.8227809866973761e-07,-2.064197701656667
-3.822530989701793e-07,-2.0917852339152887
-3.8222809927062098e-07,-2.0562225699904957
-3.8220309957106266e-07,-2.0659172150772065
-3.8217809987150435e-07,-2.0670185563176346
-3.8215310017194603e-07,-2.0539800971164368
-3.8212810047238772e-07,-2.0321024862823833
-3.821031007728294e-07,-2.0171626147202915
-3.8207810107327109e-07,-2.0425673596946581
-3.8205310137371277e-07,-2.0236612385815533
-3.8202810167415446e-07,-2.0245522591721965
-3.8200310197459614e-07,-2.0031649228258175
-3.8197810227503783e-07,-2.0043117388013343
-3.8195310257547951e-07,-2.0172009840280225
-3.8192810287592119e-07,-1.9831873032671865
-3.8190310317636288e-07,-1.9906934767277562
-3.8187810347680456e-07,-1.975941188447905
-3.8185310377724625e-07,-1.995424270262447
-3.8182810407768793e-07,-1.9573633380787214
-3.8180310437812962e-07,-1.9731288602997665
-3.817781046785713e-07,-1.9384202687433572
-3.8175310497901299e-07,-1.9551237073756056
-3.8172810527945467e-07,-1.9468870959826745
-3.8170310557989636e-07,-1.971054075511347
-3.8167810588033804e-07,-1.9229389636166161
-3.8165310618077972e-07,-1.9280705032542755
-3.8162810648122141e-07,-1.9129018369312689
-3.8160310678166309e-07,-1.9161078057550185
-3.8157810708210478e-07,-1.9030295561606181
-3.8155310738254646e-07,-1.9074846591138339
-3.8152810768298815e-07,-1.8823470782081131
-3.8150310798342983e-07,-1.8896017195402237
-3.8147810828387152e-07,-1.8851466165870079
-3.814531085843132e-07,-1.8770563769976434
-3.8142810888475489e-07,-1.896729884265369
-3.8140310918519657e-07,-1.8639823906596575
-3.8137810948563825e-07,-1.8678719015952083
-3.8135310978607994e-07,-1.8612979602039559
-3.8132811008652162e-07,-1.8563312664809928
-3.8130311038696331e-07,-1.8541470581112662
-3.8127811068740499e-07,-1.8377448895989801
-3.8125311098784668e-07,-1.8316143268748419
-3.8122811128828836e-07,-1.8395653000879975
-3.8120311158873005e-07,-1.8119123978976859
-3.8117811188917173e-07,-1.8237400922771485
-3.8115311218961342e-07,-1.8170283055951586
-3.811281124900551e-07,-1.8066174334308016
-3.8110311279049678e-07,-1.8022603853751207
-3.8107811309093847e-07,-1.8094098663823388
-3.8105311339138015e-07,-1.8078111452268786
-3.8102811369182184e-07,-1.7882996417029062
-3.8100311399226352e-07,-1.7840420696302317
-3.8097811429270521e-07,-1.7667417750999448
-3.8095311459314689e-07,-1.7776656591195206
-3.8092811489358858e-07,-1.7698042142910708
-3.8090311519403026e-07,-1.7575331412444939
-3.8087811549447195e-07,-1.7419353071090882
-3.8085311579491363e-07,-1.7572261867826455
-3.8082811609535531e-07,-1.763770285378996
-3.80803116395797e-07,-1.7333150026388466
-3.8077811669623868e-07,-1.7310739508502593
-3.8075311699668037e-07,-1.7229780269190087
-3.8072811729712205e-07,-1.7245923800146556
-3.8070311759756374e-07,-1.7294311760451819
-3.8067811789800542e-07,-1.7058908952094498
-3.8065311819844711e-07,-1.6894603049877333
-3.8062811849888879e-07,-1.7040463262674166
-3.8060311879933048e-07,-1.696545837148733
-3.8057811909977216e-07,-1.6816443348943722
-3.8055311940021384e-07,-1.6818589188005717
-3.8052811970065553e-07,-1.7018251696754305
-3.8050312000109721e-07,-1.6702770722076821
-3.804781203015389e-07,-1.6685319792486553
